# time	force	displ	temp
0	0	0	20
0.11433	38.7354	0.0022866	20
0.258493	111.6552	0.00516985	20
0.458493	234.492	0.00916985	20
0.658493	368.046	0.0131699	20
0.858493	516.556	0.0171699	20
1.05849	678.674	0.0211699	20
1.25849	836.712	0.0251699	20
1.45849	1008.706	0.0291699	20
1.65849	1182.452	0.0331699	20
1.85849	1359.008	0.0371699	20
2.05849	1535.744	0.0411699	20
2.25849	1718.366	0.0451699	20
2.45849	1902.662	0.0491699	20
2.65849	2088.88	0.0531699	20
2.85849	2282.04	0.0571699	20
3.05849	2474.56	0.0611699	20
3.25849	2660.4	0.0651699	20
3.45849	2844.98	0.0691699	20
3.65849	3042.34	0.0731699	20
3.85849	3228.4	0.0771699	20
4.05849	3430.58	0.0811699	20
4.25849	3617.76	0.0851699	20
4.45849	3822.88	0.0891699	20
4.65849	4013.08	0.0931699	20
4.85849	4212.9	0.0971699	20
5	4353.36	0.1	20
5.05	3914.82	0.099	20
5.1	3479.78	0.098	20
5.175	2841.52	0.0965	20
5.275	2048.12	0.0945	20
5.375	1379.136	0.0925	20
5.475	894.008	0.0905	20
5.575	512.41	0.0885	20
5.675	219.522	0.0865	20
5.775	29.6392	0.0845	20
5.8	3.97362	0.084	20
5.8375	0	0.08325	20
5.9375	242.342	0.0855	20
6.0375	762.554	0.0875	20
6.1375	1406.306	0.0895	20
6.2375	2064.28	0.0915	20
6.3375	2667.34	0.0935	20
6.4375	3173.44	0.0955	20
6.5375	3566.1	0.0975	20
6.6375	3831.66	0.0995	20
6.6625	3884.52	0.1	20
